lang,parser,relation,n,accuracy
en,spacy:en_core_web_trf,acl,377,0.2361
en,stanza:en,acl,377,0.756
en,spacy:en_core_web_trf,advcl,366,0.4645
en,stanza:en,advcl,366,0.7732
en,spacy:en_core_web_trf,advmod,1314,0.6644
en,stanza:en,advmod,1314,0.8691
en,spacy:en_core_web_trf,amod,1253,0.8276
en,stanza:en,amod,1253,0.8994
en,spacy:en_core_web_trf,appos,185,0.5568
en,stanza:en,appos,185,0.5081
en,spacy:en_core_web_trf,aux,939,0.7678
en,stanza:en,aux,939,0.9872
en,spacy:en_core_web_trf,case,1968,0.029
en,stanza:en,case,1968,0.9512
en,spacy:en_core_web_trf,cc,756,0.0463
en,stanza:en,cc,756,0.9286
en,spacy:en_core_web_trf,ccomp,223,0.6861
en,stanza:en,ccomp,223,0.8386
en,spacy:en_core_web_trf,compound,1140,0.7079
en,stanza:en,compound,1140,0.7544
en,spacy:en_core_web_trf,conj,861,0.59
en,stanza:en,conj,861,0.7515
en,spacy:en_core_web_trf,cop,576,0.0
en,stanza:en,cop,576,0.9132
en,spacy:en_core_web_trf,csubj,25,0.12
en,stanza:en,csubj,25,0.56
en,spacy:en_core_web_trf,det,1861,0.9618
en,stanza:en,det,1861,0.9774
en,spacy:en_core_web_trf,discourse,123,0.0
en,stanza:en,discourse,123,0.748
en,spacy:en_core_web_trf,expl,68,0.6765
en,stanza:en,expl,68,0.9118
en,spacy:en_core_web_trf,fixed,65,0.0
en,stanza:en,fixed,65,0.8769
en,spacy:en_core_web_trf,flat,278,0.0
en,stanza:en,flat,278,0.8849
en,spacy:en_core_web_trf,goeswith,8,0.0
en,stanza:en,goeswith,8,0.125
en,spacy:en_core_web_trf,iobj,71,0.0
en,stanza:en,iobj,71,0.8028
en,spacy:en_core_web_trf,list,251,0.0
en,stanza:en,list,251,0.4661
en,spacy:en_core_web_trf,mark,752,0.3245
en,stanza:en,mark,752,0.9588
en,spacy:en_core_web_trf,nmod,1198,0.0025
en,stanza:en,nmod,1198,0.8589
en,spacy:en_core_web_trf,nsubj,2074,0.65
en,stanza:en,nsubj,2074,0.9426
en,spacy:en_core_web_trf,nummod,282,0.7589
en,stanza:en,nummod,282,0.7518
en,spacy:en_core_web_trf,obj,1153,0.0
en,stanza:en,obj,1153,0.9523
en,spacy:en_core_web_trf,obl,1166,0.0
en,stanza:en,obl,1166,0.8173
