lang,parser,gold,predicted,count
en,spacy:en_core_web_trf,case,prep,1783
en,spacy:en_core_web_trf,obj,dobj,1050
en,spacy:en_core_web_trf,obl,pobj,963
en,spacy:en_core_web_trf,nmod,pobj,715
en,spacy:en_core_web_trf,nmod,poss,372
en,spacy:en_core_web_trf,mark,aux,368
en,spacy:en_core_web_trf,cop,root,312
en,spacy:en_core_web_trf,acl,relcl,207
en,spacy:en_core_web_trf,advmod,neg,199
en,spacy:en_core_web_trf,root,acomp,154
en,spacy:en_core_web_trf,list,appos,147
en,spacy:en_core_web_trf,amod,compound,138
en,spacy:en_core_web_trf,aux,auxpass,120
en,spacy:en_core_web_trf,nsubj,nsubjpass,114
en,spacy:en_core_web_trf,obl,npadvmod,100
en,spacy:en_core_web_trf,root,compound,94
en,spacy:en_core_web_trf,root,attr,93
en,spacy:en_core_web_trf,compound,prt,88
en,spacy:en_core_web_trf,cop,ccomp,87
en,spacy:en_core_web_trf,flat,root,85
en,stanza:en,nmod,obl,93
en,stanza:en,obl,nmod,77
en,stanza:en,amod,compound,44
en,stanza:en,compound,flat,33
en,stanza:en,parataxis,root,30
en,stanza:en,appos,list,28
en,stanza:en,acl,advcl,27
en,stanza:en,compound,amod,26
en,stanza:en,advmod,compound,24
en,stanza:en,list,appos,24
en,stanza:en,obl,obj,23
en,stanza:en,compound,nmod,22
en,stanza:en,list,nmod,22
en,stanza:en,root,compound,22
en,stanza:en,nummod,appos,21
en,stanza:en,conj,parataxis,20
en,stanza:en,compound,root,20
en,stanza:en,root,nsubj,19
en,stanza:en,appos,flat,19
en,stanza:en,list,nummod,19
ru,spacy:ru_core_news_lg,obl,advmod,925
ru,spacy:ru_core_news_lg,obl,nmod,797
ru,spacy:ru_core_news_lg,obl,obj,608
ru,spacy:ru_core_news_lg,nmod,obl,578
ru,spacy:ru_core_news_lg,obl,xcomp,419
ru,spacy:ru_core_news_lg,parataxis,root,322
ru,spacy:ru_core_news_lg,obj,nsubj,253
ru,spacy:ru_core_news_lg,parataxis,conj,252
ru,spacy:ru_core_news_lg,advmod,cc,232
ru,spacy:ru_core_news_lg,mark,case,198
ru,spacy:ru_core_news_lg,root,nsubj,177
ru,spacy:ru_core_news_lg,nsubj,obj,170
ru,spacy:ru_core_news_lg,flat,appos,166
ru,spacy:ru_core_news_lg,det,amod,158
ru,spacy:ru_core_news_lg,nmod,nummod,151
ru,spacy:ru_core_news_lg,appos,nmod,148
ru,spacy:ru_core_news_lg,conj,obl,148
ru,spacy:ru_core_news_lg,root,conj,146
ru,spacy:ru_core_news_lg,nsubj,root,137
ru,spacy:ru_core_news_lg,nmod,appos,135
ru,stanza:ru,obl,nmod,563
ru,stanza:ru,nmod,obl,517
ru,stanza:ru,advmod,obl,378
ru,stanza:ru,iobj,obl,202
ru,stanza:ru,obl,advmod,201
ru,stanza:ru,obl,obj,158
ru,stanza:ru,xcomp,obl,150
ru,stanza:ru,obj,obl,143
ru,stanza:ru,det,amod,129
ru,stanza:ru,nsubj,obj,123
ru,stanza:ru,obj,nsubj,114
ru,stanza:ru,appos,parataxis,109
ru,stanza:ru,nmod,det,107
ru,stanza:ru,advmod,mark,101
ru,stanza:ru,parataxis,conj,98
ru,stanza:ru,case,mark,96
ru,stanza:ru,advmod,cc,92
ru,stanza:ru,root,nsubj,88
ru,stanza:ru,obl,conj,84
ru,stanza:ru,appos,nmod,81
